stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station
"8350DB005092","Springfield Cemetery, stop 5092","53.1858287286785","-6.12905974567315","",""
"8350DB005110","Arduan, stop 5110","53.2202730815056","-6.4697991215905","",""
"8350DB005111","Troopersfield, stop 5111","53.1672517575749","-6.53623997521528","",""
"8350DB005135","Kilruddery Cottages, stop 5135","53.1767923001049","-6.09541677764728","",""
"8350DB005136","Gorse Hill, stop 5136","53.0778880041936","-6.06740983138258","",""
"8350DB005139","Windgate Cottages, stop 5139","53.1617095881811","-6.084778142353","",""
"8350DB006000","Kilmacanogue, stop 6000","53.1704672156883","-6.13650455201689","",""
"8350DB006097","Ashridge Green, stop 6097","53.2003151140804","-6.17638978266518","",""
"8350DB006137","Kilcoole Golf Club, stop 6137","53.0992432845239","-6.06728889884381","",""
"8350DB007207","Russborough House, stop 7207","53.1408899059882","-6.56057429403245","",""
"8350DB007208","Russborough House, stop 7208","53.1408291826539","-6.56075569491826","",""
"8350DB007248","Valleymount Road, stop 7248","53.1509293541619","-6.55536446828693","",""
"8350DB007249","Valleymount Road, stop 7249","53.150869001776","-6.55557580887187","",""
"8350DB007250","Old Ballymore Road, stop 7250","53.1677261041383","-6.53680715153142","",""
"8350DB007251","Old Ballymore Road, stop 7251","53.1678689339434","-6.53672750725941","",""
"8350DB007252","Burgage, stop 7252","53.1634630957847","-6.54392140680862","",""
"8350DB007253","Burgage, stop 7253","53.1635899726028","-6.54400684480792","",""
"8350DB007254","Valleymount Bridge, stop 7254","53.1491242246531","-6.53634828322999","",""
"8350DB007255","Valleymount Bridge, stop 7255","53.1487245232139","-6.53673563493379","",""
"8350DB007256","Pollaphuca Road, stop 7256","53.129859138571","-6.52730457922243","",""
"8350DB007257","Pollaphuca Road, stop 7257","53.1298022761321","-6.52706742320044","",""
"8350DB007258","Pollaphuca, stop 7258","53.1210403370944","-6.53592804944058","",""
"8350DB007259","Pollaphuca, stop 7259","53.1210944267629","-6.53594115198294","",""
"8350DB007260","Humphreystown, stop 7260","53.116586696908","-6.5384845899589","",""
